cfg_label,round,elo_temperature,w_tournament,w_blade,uwo_lambda,elo_rounds,gsi_n,response_quality,relevance,helpfulness,toxicity,harmfulness,refusal,objective
r0_cfg26,0,30.288369027897716,0.15577162988483906,2.3128509745001793,0.46409622114151716,3,16,0.774,0.634,0.628,0.022,0.026,0.588,0.8179809523809524
r0_cfg31,0,35.25004361476749,2.600718188099563,1.8398560378700495,0.29640839248895645,3,10,0.71,0.58,0.688,0.052,0.07,0.56,0.7647159090909091
r0_cfg30,0,22.043042327277362,1.3930557081475854,1.3084410410374403,0.6238271780312061,5,14,0.754,0.678,0.682,0.042,0.04,0.644,0.8198734328358209
r0_cfg33,0,15.671887564472854,1.528851849026978,1.3245170144364238,0.740848514251411,6,5,0.794,0.626,0.656,0.01,0.054,0.566,0.8191656734207389
r0_cfg37,0,7.425965553149581,2.9283773358911276,2.57797918561846,0.33136167004704475,2,4,0.724,0.608,0.662,0.018,0.054,0.62,0.787759509202454
r0_cfg34,0,36.27803423628211,1.4805935192853212,2.998835896141827,0.005791701376438141,9,11,0.756,0.566,0.642,0.04,0.036,0.578,0.783588416512631
r0_cfg36,0,2.635398662649095,0.48358392622321844,1.5425527235493064,0.4139780690893531,4,9,0.742,0.616,0.646,0.038,0.032,0.614,0.7971228710462287
r0_cfg38,0,27.49894752819091,0.06798526737838984,0.9974107732996345,0.9063673904165626,7,10,0.776,0.616,0.636,0.0,0.054,0.608,0.8115134811264229
r0_cfg40,0,10.881321327760816,0.9705125167965889,0.48466884065419436,0.5020498409867287,4,7,0.724,0.574,0.62,0.056,0.064,0.594,0.7678539962240402
r0_cfg41,0,15.537513698451221,2.385994680225849,2.1306656347587705,0.9408905254676938,8,9,0.722,0.578,0.662,0.024,0.032,0.622,0.7790382244143033
r0_cfg35,0,22.539671763777733,2.5009584613144398,0.1553424233570695,0.8326697535812855,7,16,0.73,0.572,0.7,0.024,0.044,0.604,0.7778181818181819
r0_cfg39,0,31.3187592709437,2.050753223709762,1.9656295655295253,0.23568687122315168,9,14,0.752,0.646,0.704,0.052,0.056,0.612,0.8039562310030395
r0_cfg44,0,9.16828732099384,1.1327167209237814,0.8374346131458879,0.14276858512312174,6,6,0.738,0.63,0.682,0.024,0.054,0.594,0.7991781155015196
r0_cfg45,0,4.206631330773234,2.063232301734388,0.3652634611353278,0.1001292634755373,8,7,0.724,0.574,0.698,0.048,0.096,0.536,0.7638199112238429
r0_cfg42,0,34.01315501704812,0.6527969716116786,0.6936514405533671,0.2970827054232359,5,15,0.752,0.632,0.68,0.032,0.038,0.588,0.8060108630054315
r0_cfg43,0,28.156042002141476,1.8342982241883874,2.3623402258381248,0.5952122379094362,3,13,0.78,0.57,0.706,0.036,0.038,0.492,0.7936813186813189
r0_cfg46,0,23.36785562802106,0.8921684212982655,1.7085271859541535,0.6462667817249894,3,13,0.752,0.594,0.718,0.008,0.036,0.544,0.7973276801938219
r0_cfg47,0,38.80134102795273,2.7079462576657534,1.1651130812242627,0.44195494521409273,5,11,0.73,0.616,0.722,0.032,0.028,0.576,0.7946561168594035
r1_cfg6,1,35.443460844526655,0.29073332797795415,1.4219430806693452,0.6346835200191889,5,3,0.744,0.65,0.728,0.008,0.062,0.56,0.8093922984356198
r1_cfg4,1,36.33537496195959,0.9803331987212858,1.4092814419019848,0.6409554625778471,6,6,0.756,0.636,0.678,0.038,0.054,0.652,0.8048290909090908
r1_cfg0,1,27.86883069789549,2.237883165809039,2.024987458641149,0.8083321520036276,10,7,0.746,0.668,0.744,0.038,0.064,0.572,0.8103176328502416
r1_cfg3,1,25.47747295583641,0.6441932301099196,1.977757344711869,0.7153825608336759,9,11,0.766,0.544,0.688,0.044,0.022,0.602,0.780992601726264
r1_cfg2,1,10.452998563539225,1.577046874648258,1.470299796596364,0.9294220957184887,5,13,0.744,0.606,0.746,0.062,0.082,0.564,0.7815346225826575
r1_cfg1,1,27.098941178738976,0.47790111678589886,2.00071868439926,0.9017025483401442,2,15,0.784,0.592,0.714,0.03,0.034,0.644,0.8043285024154588
r1_cfg5,1,11.9060422168779,0.7209367268450808,1.4741457505023707,0.26883093111740647,5,13,0.726,0.658,0.682,0.058,0.064,0.504,0.7967970570202331
r1_cfg7,1,20.937617732167663,2.8319535044327795,1.2679419370484766,0.10149893385790423,6,13,0.718,0.618,0.684,0.044,0.052,0.616,0.7851061728395061
r1_cfg8,1,34.597259958129065,1.8531364341416114,1.2759047621382082,0.9526633055085959,6,11,0.716,0.586,0.682,0.032,0.042,0.6,0.7768438661710039
r1_cfg10,1,38.98381517611108,1.0840952051661104,1.5242929741285527,0.8174811292686686,5,14,0.76,0.634,0.672,0.028,0.07,0.542,0.8044259708737864
r1_cfg13,1,3.774803704756906,1.3218908993374683,2.533807018124203,0.17730048489793118,8,6,0.712,0.622,0.702,0.032,0.058,0.59,0.785431565967941
r1_cfg11,1,34.030019364578486,1.2123563948865361,1.5919664833313527,0.9883313122565214,7,12,0.742,0.546,0.684,0.036,0.03,0.586,0.7731198013656114
r1_cfg9,1,18.601483513441746,0.08053249353738726,1.8329459392819505,0.568502043384137,9,15,0.792,0.552,0.656,0.034,0.05,0.602,0.7899092024539878
r1_cfg12,1,28.62427919414042,0.7595715873372322,0.08881410622139121,0.8034723818929812,7,12,0.728,0.648,0.686,0.06,0.078,0.618,0.7912637430512662
r1_cfg14,1,20.130551433897658,1.309289144343643,1.5396957766437316,0.6539791909862119,5,14,0.738,0.626,0.708,0.052,0.062,0.544,0.7915396923076923
r1_cfg15,1,22.557207538098567,1.0069919893613428,1.8729939931574653,0.6823756522649559,3,13,0.738,0.612,0.686,0.034,0.042,0.634,0.7933414783139889
r2_cfg6,2,10.18984274738653,0.2618970420229569,0.946394615872389,0.214083349854213,3,6,0.728,0.582,0.718,0.014,0.04,0.598,0.7829422604422603
r2_cfg7,2,31.32655473222635,0.21829390905338192,1.0300755567097275,0.09641143423908585,3,6,0.772,0.652,0.726,0.038,0.04,0.608,0.8179701135684398
r2_cfg4,2,29.5717149759572,0.08791663639965089,1.947891144485554,0.8336275756362581,10,9,0.72,0.576,0.718,0.044,0.09,0.596,0.7648121442125236
r2_cfg2,2,27.87935938825395,2.6271466029378363,2.201353575274231,0.8024702103165812,6,11,0.814,0.622,0.746,0.018,0.036,0.598,0.8262732111176819
r2_cfg0,2,28.266933612218487,1.7715549710196994,1.9611996758634378,0.7342815065010191,5,11,0.742,0.666,0.68,0.022,0.038,0.624,0.8158661887694145
r2_cfg5,2,28.210382006095163,2.5780478023611524,2.3299919515291716,0.8737204016299325,9,11,0.738,0.594,0.76,0.048,0.054,0.588,0.7827046439628482
r2_cfg3,2,32.06099125837491,0.6251346020908386,1.9836516163244613,0.8117934827545189,8,12,0.706,0.676,0.702,0.038,0.066,0.542,0.7993508236729713
r2_cfg1,2,28.512857050814528,0.31556879024597717,1.9794108769053609,0.9962299886455535,9,11,0.756,0.68,0.684,0.018,0.062,0.588,0.8215494636471989
r2_cfg10,2,30.74706872490069,1.2022265801417746,1.5897140992293908,0.9606169952005023,5,5,0.746,0.662,0.648,0.02,0.064,0.576,0.8115908543922984
r2_cfg8,2,39.55701662721538,2.9576928164729073,0.9484944543399252,0.11808579509114461,3,6,0.746,0.598,0.706,0.02,0.056,0.542,0.7912656058751529
r2_cfg9,2,24.44923767406732,2.259215269635101,0.9212388078819387,0.2949387792120814,3,6,0.756,0.606,0.658,0.048,0.068,0.576,0.7905138632162662
r2_cfg13,2,6.449292174160783,1.9929684246132138,1.3992510532662623,0.5456400706504918,5,4,0.75,0.644,0.678,0.006,0.044,0.564,0.8128887559808612
r2_cfg12,2,20.744748133790726,0.4865602290682426,1.0138746275203159,0.1886541534858716,3,6,0.698,0.606,0.716,0.024,0.058,0.612,0.7762482929857232
r2_cfg11,2,25.557672342567027,1.309364187821429,0.8150599818441779,0.07481241307228194,3,7,0.724,0.636,0.724,0.006,0.05,0.55,0.8001937046004841
r2_cfg15,2,34.467401646824044,0.6447796961481216,2.0178609848315445,0.6626333564438417,8,11,0.732,0.58,0.672,0.036,0.048,0.568,0.7787459727385377
r2_cfg14,2,21.058744542489944,0.9658129893733849,1.327782608962973,0.2485808602542578,7,16,0.76,0.596,0.714,0.018,0.024,0.628,0.8011611345805673
r3_cfg1,3,33.18753671338042,0.5942972548354817,1.5279314351282296,0.4425579677212671,3,5,0.736,0.606,0.632,0.022,0.03,0.644,0.7945945288753801
r3_cfg7,3,34.02598766314853,0.638810418459351,2.2480874305342224,0.8258455810040243,4,11,0.744,0.656,0.706,0.01,0.028,0.594,0.8170136823319453
r3_cfg4,3,29.577240697887216,0.7245442938173456,2.138010003593846,0.897060921699298,8,11,0.784,0.674,0.76,0.018,0.05,0.528,0.8309309734513275
r3_cfg5,3,28.49474644431585,2.5597086772411113,2.10780771614083,0.848682595031969,5,11,0.75,0.59,0.686,0.02,0.042,0.612,0.7922269676632092
r3_cfg3,3,28.647176677743158,0.9370499861981956,1.990902145092038,0.37788177791516975,3,11,0.73,0.606,0.698,0.026,0.032,0.604,0.7914923733984136
r3_cfg2,3,18.845226255797837,1.3169930551708227,2.802854694831783,0.8156844065437899,4,11,0.762,0.642,0.718,0.014,0.026,0.63,0.8180261593341259
r3_cfg6,3,27.455906651127684,2.9582640199488006,2.2233671928743663,0.8890868118039413,9,11,0.732,0.578,0.658,0.026,0.042,0.638,0.7806662553979026
r3_cfg0,3,29.313817253258605,2.454595622455789,2.0630581372172814,0.4477553616972789,9,11,0.742,0.624,0.716,0.0,0.054,0.546,0.8026074879227053
r3_cfg8,3,39.85925898458387,0.9569732225865057,1.7638308368461055,0.8126631049756046,8,11,0.702,0.554,0.728,0.046,0.03,0.616,0.759919496855346
r3_cfg14,3,3.3022112421270875,0.8570113822115264,2.116135755154033,0.8231229040733906,9,8,0.758,0.568,0.674,0.04,0.092,0.594,0.775506574827802
r3_cfg9,3,23.09768822220208,0.722871737929788,2.5128383652910307,0.8322776545703463,9,12,0.732,0.618,0.71,0.044,0.06,0.606,0.7885397412199631
r3_cfg12,3,28.04947434053735,0.3207342960096843,2.153800259505567,0.6191270154809859,5,11,0.72,0.644,0.682,0.028,0.044,0.602,0.7988432563791008
r3_cfg11,3,28.440923618753867,0.38008697099626465,2.053933742260388,0.688250397775388,8,11,0.738,0.614,0.682,0.034,0.05,0.658,0.7926658506731946
r3_cfg15,3,28.574945837520573,0.913065738168976,1.9692372797322661,0.6742320215253018,9,11,0.76,0.61,0.726,0.03,0.048,0.554,0.7998602673147024
r3_cfg10,3,34.207198936655686,0.5212042763996667,2.529799915850128,0.8206870519303298,9,11,0.738,0.612,0.706,0.014,0.034,0.526,0.7980617807389462
r3_cfg13,3,29.604358148734534,2.8521320437141493,2.316492674655805,0.35291121251992236,10,16,0.722,0.604,0.686,0.024,0.04,0.606,0.786982219497241
r4_cfg2,4,11.004923447155532,0.6923644455644997,1.8790117345231345,0.9030786223866941,6,11,0.752,0.59,0.68,0.026,0.018,0.614,0.795922377198302
r4_cfg0,4,18.77016874873839,0.7615519740811838,2.85287086389127,0.8522164155189487,6,11,0.75,0.642,0.668,0.042,0.04,0.514,0.8066030211480363
r4_cfg4,4,29.4771776442317,0.7886204385892976,2.0858714757473518,0.802787790863328,8,11,0.716,0.532,0.674,0.04,0.07,0.618,0.7516634799235181
r4_cfg5,4,24.424339992270703,0.7023488771413791,2.0920344206390027,0.9999552309203736,7,11,0.77,0.608,0.672,0.006,0.026,0.602,0.8104913329348475
r4_cfg1,4,9.209548826876839,0.7200752591346098,1.904006063192932,0.45235963201967533,5,11,0.756,0.624,0.742,0.036,0.024,0.656,0.8063855421686746
r4_cfg7,4,31.27262483428096,2.63884218926944,0.27187078508804446,0.8003226729467855,8,11,0.75,0.552,0.684,0.042,0.034,0.652,0.7765182889026658
r4_cfg3,4,29.86132579633462,2.629920625191369,2.6575525095216554,0.8727149497330517,5,11,0.732,0.562,0.702,0.042,0.048,0.608,0.7713920099875157
r4_cfg6,4,27.35719500191364,1.3807589082404,1.3328914065811355,0.5646512756021846,6,14,0.754,0.548,0.696,0.032,0.064,0.582,0.7732401746724891
r4_cfg10,4,34.2594340854782,1.178522268591337,2.1757921692442532,0.9718595715346389,6,5,0.75,0.606,0.756,0.05,0.066,0.62,0.7884888888888888
r4_cfg11,4,34.796872723939195,1.167954255243826,1.3442158297041078,0.9856542797788435,8,5,0.714,0.618,0.64,0.012,0.036,0.62,0.7917369062119366
r4_cfg12,4,9.827407336976066,0.37224960341497293,0.7904610309933384,0.021646705728777697,3,6,0.682,0.618,0.646,0.062,0.08,0.592,0.7648511716276123
r4_cfg13,4,27.271904300571506,0.34352342523963864,0.6070818278567913,0.043042114484019185,3,6,0.776,0.578,0.698,0.024,0.03,0.554,0.798449696969697
r4_cfg14,4,7.846625104085668,1.052329840013791,1.3415812022170437,0.9729079256082807,5,5,0.71,0.612,0.698,0.012,0.07,0.626,0.7825913580246913
r4_cfg9,4,23.14871852307997,2.6157747060859515,2.148142645019315,0.7316519367435061,5,11,0.75,0.618,0.696,0.044,0.074,0.594,0.7921772307692307
r4_cfg8,4,29.458922751005474,2.6721737025534353,2.2386668778487486,0.7912108764331325,5,11,0.736,0.594,0.698,0.036,0.036,0.586,0.7870595457335788
r4_cfg15,4,29.979098501288846,1.760385345449679,1.9743622787923711,0.7922056641262392,4,11,0.722,0.578,0.694,0.038,0.058,0.602,0.7725343320848939
r5_cfg2,5,34.02108859348997,1.869438464226926,2.6314227051624757,0.9815658269014281,5,5,0.75,0.59,0.716,0.008,0.052,0.62,0.792560975609756
r5_cfg4,5,32.43042969727705,1.0904206163881354,0.9310317534712489,0.9821482816892817,5,5,0.76,0.6,0.692,0.03,0.044,0.604,0.7971272063298843
r5_cfg6,5,37.01057239954104,1.3555019097064998,0.4573765520555473,0.08159579986649591,3,6,0.76,0.642,0.686,0.044,0.07,0.58,0.8041885644768857
r5_cfg3,5,28.770978396267466,2.6034959789915932,2.6760844378513755,0.9009398127250698,8,11,0.766,0.658,0.716,0.03,0.036,0.604,0.8201357951161405
r5_cfg1,5,27.32258613704742,1.5674542255421047,1.7013744451037354,0.8216301435405378,9,11,0.758,0.63,0.712,0.046,0.04,0.666,0.8045523924894004
r5_cfg5,5,24.230768318210025,0.631465380433154,1.4405558491992292,0.8237544760259674,9,11,0.734,0.554,0.702,0.04,0.018,0.522,0.7743950464396284
r5_cfg0,5,17.60237161790246,2.5591589777714323,2.283608645168103,0.7950501645226501,6,11,0.75,0.668,0.7,0.036,0.062,0.536,0.8123602409638554
r5_cfg7,5,18.02380337450849,0.06698896966093783,0.5367788141407457,0.8273785318743024,4,11,0.744,0.62,0.682,0.008,0.038,0.566,0.8032718505123568
r5_cfg9,5,32.371291294693904,0.8439613627141,1.186203792771492,0.08651149295702566,3,6,0.716,0.59,0.644,0.016,0.048,0.618,0.7798938926588526
r5_cfg8,5,37.31093605389754,0.6636592049253627,2.209799914076744,0.8241979606458828,4,11,0.732,0.614,0.696,0.03,0.024,0.604,0.7956609963547996
r5_cfg12,5,27.803938756015402,1.3828064364105073,2.3345859448435724,0.9720881595008619,5,5,0.758,0.646,0.694,0.014,0.026,0.62,0.8180261593341259
r5_cfg10,5,19.063231931084754,0.9165877627794479,0.027459711645287606,0.8210250890116799,9,11,0.72,0.622,0.686,0.02,0.058,0.5959,0.7902340686274509
r5_cfg15,5,19.46673826973996,0.05064912563370973,2.2703952325524828,0.09105144400594069,3,6,0.766,0.594,0.704,0.046,0.054,0.536,0.7926380368098159
r5_cfg11,5,24.82469331154297,1.8765728831116868,1.5867443755505084,0.8878100884283193,8,11,0.72,0.576,0.702,0.086,0.072,0.614,0.7607495219885276
r5_cfg14,5,26.35447295790597,2.937538460822133,0.7046997139416022,0.8053875645668551,6,11,0.778,0.622,0.716,0.014,0.038,0.614,0.8145758661887694
r5_cfg13,5,15.721118970437582,2.4579103845953796,1.4768740592664908,0.624868899810029,5,14,0.706,0.602,0.67,0.07,0.072,0.534,0.7676133922931143
r6_cfg1,6,29.81018417559007,0.5499962921555767,2.5630089768209423,0.8828637282350117,8,11,0.708,0.594,0.63,0.052,0.058,0.648,0.7709210526315788
r6_cfg0,6,18.464394186317254,2.491102895531385,2.165085588237566,0.7708800170363548,6,11,0.772,0.598,0.7,0.0,0.024,0.596,0.8090615660490138
r6_cfg2,6,18.66647716480906,2.609020103642865,2.6745638426856364,0.8885780154977971,8,11,0.734,0.566,0.664,0.022,0.042,0.614,0.7777503090234856
r6_cfg7,6,33.29988490760045,1.0271163887911732,2.2618348391128356,0.834758979161675,9,11,0.738,0.616,0.668,0.018,0.086,0.556,0.7899027692307693
r6_cfg3,6,22.80747994244848,0.8020005654956528,1.9817621484615677,0.8113217548563496,9,11,0.724,0.622,0.7,0.006,0.004,0.664,0.8029196642685852
r6_cfg5,6,33.362693534021425,2.3840877740463906,2.3450533500576087,0.7843672442698746,6,11,0.758,0.584,0.682,0.016,0.038,0.566,0.7942615571776155
r6_cfg4,6,8.692550039917325,2.991275107660842,2.946510598675676,0.928843614301083,9,14,0.726,0.566,0.674,0.054,0.094,0.552,0.761063613231552
r6_cfg6,6,36.50582695051876,0.10705951769637093,2.483882337876583,0.4446609363073334,3,16,0.75,0.568,0.746,0.02,0.042,0.584,0.7844852579852579
r6_cfg12,6,20.78757361812994,1.2523102989615227,1.5999721162354656,0.9777666828142496,5,5,0.746,0.616,0.724,0.016,0.058,0.608,0.7978138686131386
r6_cfg11,6,35.87308081181451,1.3296751915853386,1.272441672268875,0.9996284125172907,5,5,0.728,0.606,0.748,0.006,0.044,0.598,0.792113276492083
r6_cfg14,6,34.1724254492121,1.0985833587621507,2.132235291008878,0.9561779696360725,5,5,0.76,0.636,0.67,0.044,0.054,0.552,0.8050915706488779
r6_cfg9,6,32.56720411921313,0.15681496415364932,0.776937182499067,0.06801840849301989,3,6,0.728,0.594,0.684,0.03,0.034,0.58,0.7855715162676489
r6_cfg13,6,16.19465231968808,1.640084280197307,1.1614222656465458,0.7257207147816455,6,5,0.786,0.596,0.67,0.022,0.05,0.572,0.8049836858006043
r6_cfg8,6,21.83420543150944,0.2613201287113373,1.201887663562328,0.0999247517335661,3,6,0.776,0.664,0.774,0.02,0.052,0.578,0.8243230403800474
r6_cfg10,6,38.1104569032135,2.456097558918372,1.4779124350350306,0.14440485249377014,3,6,0.722,0.612,0.712,0.04,0.066,0.574,0.7827125154894672
r6_cfg15,6,24.444754302036017,2.9521471464662783,0.545322703864185,0.7602657829202492,6,11,0.772,0.626,0.716,0.04,0.044,0.566,0.8082582981291492
r7_cfg2,7,11.141529743021731,1.6110634283762795,1.2695443486640077,0.7538974374149964,6,5,0.716,0.604,0.666,0.054,0.078,0.624,0.7734504391468005
r7_cfg3,7,24.863391065374017,0.5238040233686716,0.2677755759583091,0.0950556905627821,3,6,0.74,0.668,0.642,0.062,0.094,0.542,0.7983862238622387
r7_cfg7,7,29.75197176419434,0.6980868303503587,1.746949123965535,0.9248105190454773,8,13,0.796,0.63,0.708,0.006,0.028,0.57,0.8265082547169811
r7_cfg1,7,25.925234267641855,2.971411369383128,2.9566210308123613,0.8448866922794918,6,11,0.772,0.58,0.722,0.02,0.04,0.536,0.7967436208991494
r7_cfg5,7,25.439934320154332,0.9460936221444058,1.8767461766387745,0.8425368186711458,9,11,0.778,0.656,0.718,0.032,0.05,0.562,0.8205286396181385
r7_cfg4,7,24.16235654333843,2.9954697350445256,0.7544029984386957,0.7675944102403529,6,11,0.778,0.672,0.732,0.044,0.054,0.586,0.8227625298329355
r7_cfg0,7,24.563206011171918,2.5449545623531367,0.6375612787774012,0.7671114002814773,6,11,0.716,0.662,0.752,0.026,0.04,0.564,0.8046654589371981
r7_cfg6,7,27.961747979548857,2.7933369323111896,0.6753149094345436,0.8338129031040333,6,11,0.768,0.618,0.734,0.068,0.06,0.534,0.7963756906077348
r7_cfg8,7,28.51238342159291,0.7492839619833918,0.9830746287899597,0.8441532829685137,9,11,0.752,0.588,0.67,0.042,0.04,0.61,0.7888643339472068
r7_cfg13,7,18.768362439133934,1.2925621060187173,1.3450866824837753,0.7039218030871701,6,5,0.71,0.634,0.674,0.038,0.07,0.548,0.7857997527812114
r7_cfg14,7,34.07632800675065,1.3255654515038242,1.7357394680214222,0.9783970318713532,5,5,0.79,0.618,0.71,0.012,0.028,0.548,0.8193824228028503
r7_cfg12,7,37.42713596378282,0.2112854481962238,1.0650213622787963,0.10844536873913571,3,6,0.722,0.588,0.706,0.054,0.082,0.532,0.7693257718966604
r7_cfg9,7,11.480898560112665,0.03271678100603682,2.1297575680825322,0.16599082542443724,6,12,0.712,0.602,0.718,0.034,0.072,0.526,0.775784289276808
r7_cfg10,7,29.821795933793208,2.658858492631842,2.4045141654635884,0.7929794347667121,6,11,0.774,0.632,0.684,0.046,0.058,0.496,0.8073216232586312
r7_cfg11,7,24.21917926663475,2.3051386994527086,2.232940847901209,0.7919413152882059,6,11,0.772,0.626,0.674,0.068,0.052,0.596,0.8017815741305674
r7_cfg15,7,28.720107574880224,2.9836451141456903,0.7605389629785679,0.7867196585751672,6,11,0.726,0.674,0.69,0.052,0.086,0.566,0.7991416309012875
r8_cfg1,8,26.301088426943416,1.4727407364827054,2.3892792135043157,0.9508150763330926,5,5,0.748,0.58,0.696,0.04,0.056,0.564,0.7823366336633663
r8_cfg6,8,29.556364966712113,0.93844561508447,1.791105525113418,0.9319459384741532,5,5,0.758,0.636,0.714,0.032,0.09,0.626,0.8001014669926652
r8_cfg7,8,33.890259473611344,0.8753126138392788,1.484968942285033,0.9812175974155714,5,5,0.784,0.67,0.74,0.018,0.048,0.564,0.8299988193624559
r8_cfg5,8,33.88106233254967,2.261230037772485,1.7155537261145728,0.9921762940048309,3,5,0.76,0.614,0.67,0.044,0.052,0.552,0.7980768761439903
r8_cfg3,8,27.873965319701526,1.9783422117062086,2.032984546780891,0.8186202685214518,9,10,0.786,0.61,0.72,0.048,0.056,0.568,0.8040145808019441
r8_cfg4,8,29.07834379128029,1.5644749796562532,1.9754136185065494,0.984476933141519,3,11,0.756,0.606,0.692,0.02,0.054,0.568,0.7978138686131386
r8_cfg0,8,29.80733970997199,1.9051519259558478,1.7705698766106317,0.9137897896718914,6,11,0.742,0.602,0.632,0.054,0.086,0.56,0.7802247191011236
r8_cfg2,8,26.59196900882337,1.0433351335745396,1.905207669465426,0.8159578478865204,9,11,0.778,0.646,0.66,0.03,0.054,0.558,0.8168814371257485
r8_cfg8,8,28.860309106672453,0.3785723584273286,0.2511877489381967,0.07885931283268867,3,6,0.73,0.636,0.642,0.058,0.068,0.584,0.7900876543209877
r8_cfg14,8,1.3473001894988483,1.824039708302987,1.3229818715706743,0.5241809388274519,5,4,0.776,0.674,0.692,0.056,0.072,0.538,0.8170981336544252
